plus,+
minus,-
negative,-
times,*
divided by,/
equals,=
factorial,!
mod,\bmod
to,\to
infinity,\infty
alpha, \alpha
beta, \beta
gamma, \gamma
Gamma, \Gamma	
delta, \delta
Delta, \Delta
epsilon, \epsilon
zeta, \zeta
eta, \eta
theta, \theta
Theta, \Theta
iota, \iota
kappa, \kappa
lambda, \lambda
Lambda, \Lambda
mu, \mu
nu, \nu
xi, \xi
Xi, \Xi
pi, \pi
Pi, \Pi
rho, \rho
sigma, \sigma
Sigma, \Sigma
tau, \tau
upsilon, \upsilon
phi, \phi
Phi, \Phi
chi, \chi
psi, \psi
Psi, \Psi
omega, \omega
Omega, \Omega
